Date,Vaccine_type,Doses_per_Day,OBJECTID
2021/07/17,AstraZeneca,2,741
2021/07/17,Janssen Inc.,4,742
2021/07/17,Moderna,7817,743
2021/07/17,Pfizer,5594,744
2021/07/18,AstraZeneca,4,745
2021/07/18,Moderna,7110,746
2021/07/18,Pfizer,3552,747
2021/07/19,AstraZeneca,7,748
2021/07/19,Janssen Inc.,2,749
2021/07/19,Moderna,2420,750
2021/07/19,Pfizer,10753,751
2021/07/20,AstraZeneca,11,752
2021/07/20,Janssen Inc.,4,753
2021/07/20,Moderna,2488,754
2021/07/20,Pfizer,10322,755
2021/07/21,AstraZeneca,7,756
2021/07/21,Janssen Inc.,2,757
2021/07/21,Moderna,1551,758
2021/07/21,None,0,759
2021/07/21,Pfizer,4716,760
2021/07/22,AstraZeneca,9,761
2021/07/22,Moderna,1264,762
2021/07/22,Pfizer,5051,763
2021/07/23,AstraZeneca,13,764
2021/07/23,Janssen Inc.,2,765
2021/07/23,Moderna,1185,766
2021/07/23,Pfizer,6377,767
2021/07/24,AstraZeneca,1,768
2021/07/24,Moderna,1070,769
2021/07/24,Pfizer,4320,770
2021/07/25,AstraZeneca,2,771
2021/07/25,Moderna,836,772
2021/07/25,Pfizer,2857,773
2021/07/26,AstraZeneca,7,774
2021/07/26,Janssen Inc.,2,775
2021/07/26,Moderna,1447,776
2021/07/26,Pfizer,4752,777
2021/07/27,AstraZeneca,8,778
2021/07/27,Moderna,1082,779
2021/07/27,None,1,780
2021/07/27,Pfizer,3916,781
2021/07/28,AstraZeneca,5,782
2021/07/28,Moderna,1083,783
2021/07/28,Pfizer,3318,784
2021/07/29,AstraZeneca,8,785
2021/07/29,Moderna,888,786
2021/07/29,Pfizer,3113,787
2021/07/30,AstraZeneca,4,788
2021/07/30,Janssen Inc.,4,789
2021/07/30,Moderna,1244,790
2021/07/30,None,1,791
2021/07/30,Pfizer,3726,792
2021/07/31,AstraZeneca,2,793
2021/07/31,Moderna,1237,794
2021/07/31,Pfizer,3735,795
2021/08/01,AstraZeneca,2,796
2021/08/01,Moderna,1178,797
2021/08/01,Pfizer,3003,798
2021/08/02,AstraZeneca,2,799
2021/08/02,Moderna,953,800
2021/08/02,None,1,801
